id,type,name,aliases,region,state,city,lat,lon,facets,what,root,kin,sources,tier,confidence,needs_verification,updated,url
bay-area-late-counter,style,The all-night counter,24-hour donut shop|the late window,bay-area|socal,CA,,,,"{""dough"": ""both"", ""counter"": ""coffee-only"", ""state"": ""CA""}","A shop that never closes, or opens again at midnight: bar traffic, night shifts, students, and whoever else is out.",,bobs-donuts|seaside-donuts|randys-donuts|the-2am-shift,s:wp-bob-s-donuts|s:wp-seaside-donuts-bakery|s:wp-randy-s-donuts,cited,high,False,2026-09-16,https://nanobotco.github.io/pink-box/style/bay-area-late-counter/
chicago-polish-bakery,style,The Polish bakery counter,paczki counter|Chicago Polish bakery,chicago|detroit|upper-midwest,IL,,,,"{""state"": ""IL"", ""dough"": ""yeast"", ""counter"": ""donuts-only""}","A Polish-American bakery selling pączki — rich filled donuts, powidła or rose-petal jam inside, powdered or glazed — beside rye bread and coffee cake. One day a year it is the only thing anyone is there for.",,paczki|paczki-day|pennsylvania-fastnacht,s:wp-p-czki|s:wp-doughnut|s:wp-hamtramck-michigan,cited,high,False,2026-09-16,https://nanobotco.github.io/pink-box/style/chicago-polish-bakery/
delta-grocery-counter,style,The Delta grocery counter,Chinese grocery counter,mississippi-delta|chinese-american|the-south,,,,,"{""dough"": ""cake"", ""counter"": ""fried-rice""}","A small family grocery in the Mississippi or Arkansas Delta with a hot counter — and, in some of them, donuts fried in the morning beside the rest of the cooking.",,fried-rice|why-the-egg-rolls|cake-donut,s:wp-chinese-americans-in-the-mississippi-delta,cited,medium,True,2026-09-16,https://nanobotco.github.io/pink-box/style/delta-grocery-counter/
dunkin-country,style,Dunkin' country,New England coffee-and-donut|the regular,new-england,MA,,,,"{""state"": ""MA"", ""dough"": ""both"", ""counter"": ""coffee-only""}","Coffee first, donut second, at a counter that measures itself in how fast the line moves. The New England model, and the one the rest of the country meets as a drive-thru.",,dunkin|bill-rosenberg|allies-donuts|donuts-per-capita,s:wp-dunkin-donuts|s:wp-doughnut-shop,cited,high,False,2026-09-16,https://nanobotco.github.io/pink-box/style/dunkin-country/
hawaii-malasada,style,The malasada counter,Hawaiian donut shop,hawaii,HI,,,,"{""state"": ""HI"", ""dough"": ""yeast"", ""counter"": ""donuts-only""}","A bakery counter in Hawaii selling malasadas — no hole, no filling by default, rolled in sugar — by the dozen in a box or hot by the piece in a bag.",,malasada|leonards-bakery|malasada-day|mochi-donut,s:wp-malassada|s:wp-leonard-s-bakery,cited,high,False,2026-09-16,https://nanobotco.github.io/pink-box/style/hawaii-malasada/
louisiana-beignet,style,The beignet stand,New Orleans beignet|the Quarter counter,louisiana,LA,,,,"{""state"": ""LA"", ""dough"": ""choux"", ""counter"": ""coffee-only""}","An open-air or walk-up counter selling square fried dough under powdered sugar, three to an order, with coffee cut with chicory beside it.",,beignet|cafe-du-monde|chicory-coffee|french-cruller,s:wp-beignet|s:wp-caf-du-monde,cited,high,False,2026-09-16,https://nanobotco.github.io/pink-box/style/louisiana-beignet/
new-england-cider,style,The orchard window,cider donut stand|farm stand donuts,new-england|upstate-ny,,,,,"{""dough"": ""cake"", ""counter"": ""donuts-only""}","A seasonal counter at a cider mill, orchard or farm stand, running one machine and one product: cake donuts with cider in the batter, sugared and handed over hot in a paper bag.",,cider-donut|adolph-levitt|orchard-season|doughnut-corporation-of-america|cake-donut,s:wp-cider-doughnut,cited,high,False,2026-09-16,https://nanobotco.github.io/pink-box/style/new-england-cider/
new-mexico-burrito-counter,style,The Southwest burrito counter,donuts and breakfast burritos,new-mexico|southwest,NM,,,,"{""state"": ""NM"", ""dough"": ""both"", ""counter"": ""breakfast-burritos""}","A donut shop in New Mexico, Arizona or west Texas that also wraps breakfast burritos to order: scrambled egg, potato, cheese and chile in a flour tortilla, sold at the same window as the glazed.",,breakfast-burrito|socal-pink-box|why-the-egg-rolls|the-counter,s:wp-breakfast-burrito,cited,medium,True,2026-09-16,https://nanobotco.github.io/pink-box/style/new-mexico-burrito-counter/
novelty-donut-shop,style,The novelty shop,concept donut shop|the topping arms race,pacific-northwest|us,,,,,"{""dough"": ""yeast"", ""counter"": ""donuts-only""}","A shop that competes on invention: unusual toppings, themed rooms, names that are jokes, and a queue that photographs its order.",,voodoo-doughnut|psycho-donuts|doughnut-plant|the-price-of-a-dozen,s:wp-voodoo-doughnut|s:wp-psycho-donuts|s:wp-doughnut-plant,cited,high,False,2026-09-16,https://nanobotco.github.io/pink-box/style/novelty-donut-shop/
nyc-bodega-donut,style,The New York corner counter,bodega donut|deli donut|Greek coffee shop donut,nyc|greek-american,NY,,,,"{""state"": ""NY"", ""dough"": ""both"", ""counter"": ""bodega-sandwiches""}","Donuts sold from a deli, bodega or coffee shop rather than a donut shop: a tray by the register, a grill behind the counter, and a bacon egg and cheese on a kaiser roll doing most of the business.",,bacon-egg-and-cheese|anthora-cup|doughnut-plant|the-counter,s:wp-bodega|s:wp-bacon-egg-and-cheese-sandwich|s:wp-greek-americans|s:wp-anthora,cited,medium,False,2026-09-16,https://nanobotco.github.io/pink-box/style/nyc-bodega-donut/
